image_path,label
train/trainB/46073c38-fd676bab.jpg,1
train/trainA/902c76f4-4e2925c6.jpg,0
train/trainA/6a286fbc-19955645.jpg,0
train/trainB/aa83f77c-455d5aa2.jpg,1
train/trainB/4489e357-b439f378.jpg,1
train/trainA/019539db-cc36496e.jpg,0
train/trainA/90a21e7c-2f3a7b9c.jpg,0
train/trainA/5ceff589-87acfa0b.jpg,0
train/trainB/55862051-a84bd966.jpg,1
train/trainA/2ee2b405-d21cc091.jpg,0
train/trainB/9806cedb-66110b3f.jpg,1
train/trainA/1c1de1e7-00017a41.jpg,0
train/trainB/616ddb9e-12030314.jpg,1
train/trainA/81b47af4-b1f37da6.jpg,0
train/trainB/1f08ba8a-1e15976e.jpg,1
train/trainA/4706a375-bdc0dfef.jpg,0
train/trainB/3adc7d50-b5e02f86.jpg,1
train/trainA/a40d32ca-f54f2d84.jpg,0
train/trainA/53e84a9c-54e782d2.jpg,0
train/trainB/5e8c0abe-7faed1b7.jpg,1
train/trainA/0168e22b-7f034886.jpg,0
train/trainA/88e883f5-50e6e09e.jpg,0
train/trainA/7882980a-9b7950ad.jpg,0
train/trainA/124bd265-fe635c9c.jpg,0
train/trainB/41a26bf7-a31b3354.jpg,1
train/trainB/a7086ccc-0c1ed629.jpg,1
train/trainA/243da09c-bbd4a64f.jpg,0
train/trainA/91e99bdb-732f6085.jpg,0
train/trainB/4bcc5598-80da6af3.jpg,1
train/trainA/3e15173e-5949c488.jpg,0
train/trainA/b0bbf43a-ecaa0369.jpg,0
train/trainB/72eaedd1-71b594f9.jpg,1
train/trainA/206a7f81-f6e2d9c6.jpg,0
train/trainA/a7e76c3d-4ef77e26.jpg,0
train/trainB/504ddb09-41746c93.jpg,1
train/trainA/99282504-446c5567.jpg,0
train/trainA/1f291593-0fcd05de.jpg,0
train/trainA/4757d9b4-2557f9ce.jpg,0
train/trainA/878fb5c0-183435aa.jpg,0
train/trainA/8b591dab-ac1bcdd1.jpg,0
train/trainA/000e0252-8523a4a9.jpg,0
train/trainB/9b6e59e9-40da5c33.jpg,1
train/trainA/9532f716-837d5b69.jpg,0
train/trainB/7fd02bf5-74f6b167.jpg,1
train/trainA/9c99876c-4fa5897f.jpg,0
train/trainB/0e764680-0710a009.jpg,1
train/trainA/87b18652-f7bb2e01.jpg,0
train/trainA/00be7020-457a6db4.jpg,0
train/trainA/3c0413b4-0ee0fffb.jpg,0
train/trainB/ad61fd2d-896f7695.jpg,1
train/trainA/9e98a2bd-643f02a9.jpg,0
train/trainA/9530facd-718805ff.jpg,0
train/trainB/082db74d-fa17e940.jpg,1
train/trainB/1a29c177-4ee3dd0c.jpg,1
train/trainB/527647ca-d952fee4.jpg,1
train/trainB/8a8ccccc-98ab57c6.jpg,1
train/trainA/0ac20953-3ebb3335.jpg,0
train/trainA/9ff95939-f8945c85.jpg,0
train/trainB/32a3ce04-5bae8a26.jpg,1
train/trainA/a760d6a7-58f284c4.jpg,0
train/trainB/6cffdc1d-d8100d83.jpg,1
train/trainA/4683fc24-f5be8960.jpg,0
train/trainA/9a9006de-a48a64bb.jpg,0
train/trainA/590f793b-5bbd5525.jpg,0
train/trainB/94280388-300560fe.jpg,1
train/trainA/b0575922-7fd7e516.jpg,0
train/trainB/7f8e13f5-a9f0536c.jpg,1
train/trainA/2281c2e0-15dd56b0.jpg,0
train/trainA/61bc7f47-cf5bb97d.jpg,0
train/trainA/67836d39-458f6843.jpg,0
train/trainA/39baf89e-7ca1cd13.jpg,0
train/trainB/4ba9025b-0a170ebc.jpg,1
train/trainA/4bb87481-98642114.jpg,0
train/trainA/9b43293d-85c4045a.jpg,0
train/trainA/00c12bd0-bb46e479.jpg,0
train/trainA/a1ab3be8-e97bda9e.jpg,0
train/trainA/afd302ad-0eaa667d.jpg,0
train/trainA/797ce9f7-18dcf136.jpg,0
train/trainA/1b62fca1-0ee12bc5.jpg,0
train/trainB/395593b9-391ec1dc.jpg,1
train/trainB/91fa7dc6-a1b6bd26.jpg,1
train/trainA/1ca25867-34b3f460.jpg,0
train/trainA/441e0bd4-81d5c99e.jpg,0
train/trainA/661867d5-fa5208eb.jpg,0
train/trainB/7c6fa554-54b4c571.jpg,1
train/trainA/03d767c8-1012d4f8.jpg,0
train/trainA/88815298-a6122d2b.jpg,0
train/trainA/07b5af1c-5153aa63.jpg,0
train/trainB/5cd0b3df-d95ffd20.jpg,1
train/trainA/3fdc64cb-690f63e3.jpg,0
train/trainB/449f1d66-b4245d6f.jpg,1
